App,Package,Start Time,Duration,Filename
"System",,"Jul 18, 2018 @ 01:00:04 PM","20 min 3 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU4 Frequency [kHz]",
15502,1,15599,1612320,15604,2,15600,1400000,
15604,1,15699,1612320,15702,28,15700,1600000,
15702,1,15800,1612320,15802,0,15800,1400000,
15803,1,15900,1612320,15903,4,15901,1400000,
15903,1,16000,1612320,16006,2,16001,1400000,
16006,1,16100,1612444,16103,9,16101,1400000,
16103,1,16201,1612444,16204,3,16201,1400000,
16204,1,16301,1612568,16304,1,16301,1400000,
16304,1,16401,1612568,16406,0,16402,1400000,
16406,1,16501,1612552,16504,5,16502,1400000,
16505,1,16602,1612568,16605,4,16602,1400000,
16605,1,16702,1612568,16705,0,16702,1400000,
16705,1,16802,1612568,16807,1,16803,1400000,
16807,1,16903,1612568,16906,6,16903,1400000,
16906,1,17003,1612568,17006,2,17003,1400000,
17006,1,17103,1612568,17106,6,17104,1400000,
17106,1,17203,1612568,17210,5,17204,1400000,
17210,1,17304,1612568,17307,4,17304,1400000,
17307,1,17404,1612568,17407,1,17404,1400000,
17407,1,17504,1612568,17507,1,17505,1400000,
17508,1,17604,1612568,17609,2,17605,1400000,
17609,1,17705,1612568,17708,13,17705,1400000,
17708,1,17805,1612568,17808,2,17806,1400000,
17808,1,17906,1612568,17909,0,17906,1400000,
17909,1,18006,1612568,18011,2,18007,1400000,
18011,1,18106,1612816,18109,4,18107,1400000,
18110,1,18206,1612816,18209,0,18207,1400000,
18209,1,18307,1612816,18310,5,18307,1400000,
18310,1,18410,1612808,18414,4,18410,1400000,
18414,1,18510,1612808,18513,6,18511,1400000,
18513,1,18610,1612824,18613,1,18611,1400000,
18613,1,18711,1612824,18714,2,18711,1400000,
18714,1,18811,1612824,18817,2,18811,1600000,
18817,1,18915,1612824,18917,6,18915,1600000,
18918,1,19015,1612948,19018,2,19016,1400000,
19018,1,19115,1612948,19118,1,19116,1400000,
19119,1,19216,1613072,19221,2,19216,1400000,
19221,1,19316,1613072,19319,6,19316,1400000,
19319,1,19416,1613072,19419,2,19417,1400000,
19419,1,19516,1613072,19519,0,19517,1400000,
19519,1,19616,1613072,19622,3,19617,1400000,
19622,1,19718,1613072,19723,6,19719,1400000,
19724,1,19817,1613072,19820,9,19817,1400000,
19820,1,19917,1613072,19920,0,19918,1400000,
19920,1,20018,1613072,20022,0,20018,1400000,
20022,1,20118,1613072,20121,5,20118,1400000,
20121,1,20218,1613072,20221,4,20218,1400000,
20221,1,20318,1613072,20321,2,20319,1400000,
20322,1,20418,1613072,20424,4,20419,1400000,
20425,1,20519,1613032,20522,2,20519,1400000,
20522,1,20619,1613048,20622,0,20619,1400000,
20622,1,20719,1613048,20722,4,20719,1400000,
20722,1,20819,1613048,20824,6,20820,1400000,
20824,1,20920,1612924,20923,2,20920,1400000,
20923,1,21020,1612924,21023,4,21020,1400000,
21023,1,21120,1612924,21123,4,21120,1400000,
21123,1,21220,1612924,21225,0,21221,1400000,
21225,1,21321,1612924,21323,10,21321,1400000,
21324,1,21421,1612924,21424,0,21421,1400000,
21424,1,21521,1612924,21524,0,21522,1400000,
21524,1,21622,1612924,21628,1,21623,1400000,
21630,1,21722,1613056,21724,4,21722,1400000,
21725,1,21822,1613180,21825,8,21822,1400000,
21825,1,21922,1613180,21925,4,21923,1400000,
21925,1,22022,1613180,22027,6,22023,1400000,
22027,1,22123,1613180,22126,2,22124,1400000,
22127,1,22223,1613180,22226,6,22224,1400000,
22227,1,22324,1613180,22327,0,22324,1400000,
22327,1,22424,1613172,22429,3,22424,1400000,
22429,1,22524,1613180,22527,2,22525,1400000,
22527,1,22625,1613180,22630,0,22625,1400000,
22630,1,22725,1613304,22730,10,22725,1400000,
22730,1,22825,1613304,22832,2,22826,1400000,
22834,1,22925,1613304,22928,1,22926,1400000,
22928,1,23026,1613304,23028,2,23026,1400000,
23029,1,23126,1613304,23129,4,23127,1400000,
23129,1,23226,1613304,23231,6,23227,1400000,
23231,1,23326,1613304,23329,0,23327,1400000,
23329,1,23427,1613304,23429,3,23427,1400000,
23430,1,23527,1613304,23530,4,23527,1400000,
23530,1,23627,1613304,23634,3,23628,1400000,
23634,1,23727,1613924,23731,21,23728,1400000,
23731,1,23830,1614420,23833,21,23830,1600000,
23833,1,23930,1614916,23933,4,23931,1600000,
23933,1,24031,1614916,24042,2,24031,1600000,
